Date,Time,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_State_Code,Vehicle_Plate_Number.2,Fraud_indicator,Fraud in Amount
01-06-2023,11:20:00,Bus ,FTG-001-ABC-121,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",65,KA,11AB1234,Fraud,230
01-07-2023,14:55:00,Car,FTG-002-XYZ-451,B-102,Regular,Small,120,100,"13.059816123454882, 77.77068662374292",78,KA,66CD5678,Fraud,20
01-09-2023,02:05:00,Truck,FTG-044-LMN-322,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",92,KA,11GH3456,Fraud,230
01-10-2023,06:35:00,Van,FTG-505-DEF-652,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",60,KA,44IJ6789,Fraud,40
01-11-2023,10:00:00,Sedan,FTG-066-GHI-987,A-101,Regular,Medium,160,100,"13.059816123454882, 77.77068662374292",105,KA,77KL0123,Fraud,60
01-12-2023,15:40:00,SUV,FTG-707-JKL-210,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",70,KA,22MN4567,Fraud,20
1/13/2023,20:15:00,Bus ,FTG-088-UVW-543,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",88,KA,21OP8901,Fraud,260
1/14/2023,01:55:00,Car,FTG-909-RST-876,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",45,KA,16QR2345,Fraud,120
1/16/2023,12:10:00,Truck,FTG-021-QWE-765,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",58,KA,12UV0123,Fraud,230
1/17/2023,17:45:00,Van,FTG-011-ZXC-431,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",81,KA,35WX3454,Fraud,20
1/18/2023,22:20:00,Sedan,FTG-013-POI-104,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",67,KA,38YZ6785,Fraud,40
1/19/2023,04:00:00,SUV,FTG-014-KJH-872,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",98,KA,14AB0123,Not Fraud,0
1/20/2023,08:30:00,Bus ,FTG-055-DCV-543,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",50,KA,40CD4557,Fraud,230
1/21/2023,13:10:00,Car,FTG-066-NBH-210,B-102,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,KA,17EF8801,Fraud,30
1/23/2023,22:25:00,Truck,FTG-088-EYT-654,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",84,KA,53IJ5789,Fraud,230
1/24/2023,02:55:00,Van,FTG-099-FTD-321,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",55,KA,56KL0223,Fraud,20
1/25/2023,07:35:00,Sedan,FTG-120-TTU-098,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,KA,59MN4557,Not Fraud,0
1/26/2023,12:10:00,SUV,FTG-121-BTC-765,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",68,KA,62OP7901,Fraud,80
